tanggal ;gram ; harga 
02/01/2024;1;1.129.000,00
03/01/2024;1;1.129.000,00
04/01/2024;1;1.123.000,00
05/01/2024;1;1.125.000,00
06/01/2024;1;1.128.000,00
07/01/2024;1;1.128.000,00
08/01/2024;1;1.128.000,00
09/01/2024;1;1.121.000,00
10/01/2024;1;1.121.000,00
11/01/2024;1;1.119.000,00
12/01/2024;1;1.124.000,00
13/01/2024;1;1.131.000,00
14/01/2024;1;1.131.000,00
15/01/2024;1;1.130.000,00
16/01/2024;1;1.134.000,00
17/01/2024;1;1.121.000,00
18/01/2024;1;1.115.000,00
19/01/2024;1;1.125.000,00
20/01/2024;1;1.128.000,00
21/01/2024;1;1.128.000,00
22/01/2024;1;1.127.000,00
23/01/2024;1;1.125.000,00
24/01/2024;1;1.128.000,00
25/01/2024;1;1.124.000,00
26/01/2024;1;1.130.000,00
27/01/2024;1;1.132.000,00
28/01/2024;1;1.132.000,00
29/01/2024;1;1.133.000,00
30/01/2024;1;1.142.000,00
31/01/2024;1;1.144.000,00
01/02/2024;1;1.151.000,00
02/02/2024;1;1.142.000,00
03/02/2024;1;1.142.000,00
04/02/2024;1;1.140.000,00
05/02/2024;1;1.140.000,00
06/02/2024;1;1.130.000,00
07/02/2024;1;1.136.000,00
08/02/2024;1;1.139.000,00
09/02/2024;1;1.138.000,00
10/02/2024;1;1.135.000,00
11/02/2024;1;1.135.000,00
12/02/2024;1;1.135.000,00
13/02/2024;1;1.129.000,00
14/02/2024;1;1.114.000,00
15/02/2024;1;1.115.000,00
16/02/2024;1;1.118.000,00
17/02/2024;1;1.124.000,00
18/02/2024;1;1.124.000,00
19/02/2024;1;1.125.000,00
20/02/2024;1;1.128.000,00
21/02/2024;1;1.131.000,00
22/02/2024;1;1.133.000,00
23/02/2024;1;1.133.000,00
24/02/2024;1;1.136.000,00
25/02/2024;1;1.136.000,00
26/02/2024;1;1.135.000,00
27/02/2024;1;1.132.000,00
28/02/2024;1;1.134.000,00
29/02/2024;1;1.138.000,00
01/03/2024;1;1.142.000,00
02/03/2024;1;1.164.000,00
03/03/2024;1;1.164.000,00
04/03/2024;1;1.164.000,00
05/03/2024;1;1.179.000,00
06/03/2024;1;1.186.000,00
07/03/2024;1;1.199.000,00
08/03/2024;1;1.204.000,00
09/03/2024;1;1.208.000,00
10/03/2024;1;1.208.000,00
11/03/2024;1;1.208.000,00
12/03/2024;1;1.210.000,00
13/03/2024;1;1.200.000,00
14/03/2024;1;1.203.000,00
